episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss, stacking_duration
1, -2463.554600954056, 2, 9.143044543001452, 139, 186, 25186, 17.891733169555664, 17.617534637451172, 1.3568352324981913e-08
2, -2450.0010571479797, 2, 4.810974442996667, 69, 255, 25255, 16.472900390625, 17.62310218811035, 2.8333317090257788e-08
3, -3162.619320631027, 2, 17.34828800700052, 265, 520, 25520, 17.619586944580078, 17.761905670166016, 8.958488491908559e-09
4, -3018.529387950897, 3, 11.195481537004525, 171, 691, 25691, 19.19125747680664, 18.35136604309082, 1.102924545714904e-08
5, -2561.8336074352264, 2, 5.6896946799970465, 81, 772, 25772, 17.259422302246094, 18.34931182861328, 2.3283872805121874e-08
6, -2710.049031019211, 3, 13.586260502001096, 205, 977, 25977, 19.09761619567871, 18.293397903442383, 9.200004747182858e-09
7, -2687.6529562473297, 2, 9.50533673800237, 140, 1117, 26117, 17.804773330688477, 18.432722091674805, 1.3964277708769909e-08
8, -2362.3982132673264, 2, 5.517228942000656, 81, 1198, 26198, 17.364606857299805, 18.621498107910156, 2.413578863244182e-08
9, -2442.1393282413483, 2, 4.735140157004935, 67, 1265, 26265, 17.266630172729492, 18.40528106689453, 2.708958475781021e-08
10, -3384.9318766593933, 2, 17.568574224002077, 268, 1533, 26533, 18.517213821411133, 18.597862243652344, 8.600724881876316e-09
11, -2685.8264585733414, 3, 11.527829295999254, 176, 1709, 26709, 19.00239372253418, 18.980262756347656, 5.556805924491279e-09
12, -2694.5342733860016, 2, 9.355734812001174, 142, 1851, 26851, 18.020662307739258, 19.00779151916504, 1.3274625993110765e-08
13, -3833.3335695266724, 2, 21.1573133829952, 316, 2167, 27167, 18.656641006469727, 19.20098876953125, 6.18988278917261e-09
14, -3386.1051013469696, 2, 24.606423303994234, 376, 2543, 27543, 18.493019104003906, 19.53285026550293, 4.829784534485179e-09
15, -3119.39859855175, 2, 19.14537001700228, 289, 2832, 27832, 18.818593978881836, 19.774444580078125, 3.1418541678353163e-09
16, -2712.5940405130386, 2, 15.162935138003377, 232, 3064, 28064, 18.140453338623047, 20.30838966369629, 6.323277595019418e-09
17, -2672.556784749031, 3, 12.742997059001937, 190, 3254, 28254, 18.449846267700195, 20.73006820678711, 9.921036268535413e-09
18, -2605.9374195337296, 2, 11.952607062994502, 180, 3434, 28434, 17.854673385620117, 20.830657958984375, 1.0472204950120713e-08
19, -2734.9193449020386, 2, 9.327951481995115, 137, 3571, 28571, 18.485998153686523, 21.007986068725586, 1.3766430461113036e-08
20, -2925.475130200386, 3, 14.564627971994923, 220, 3791, 28791, 18.82866859436035, 20.854888916015625, 8.572731696238572e-09
